Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2015/12/2,2.33,11390,30008,1127,3529,13159,23072,5167,"(1.4, 4.2]"
2015/12/3,1.35,9912,26861,859,2898,11698,20330,4745,"(0.0, 1.4]"
2015/12/4,-1.67,10927,30115,995,3102,14104,22025,4913,"(-4.2, -1.4]"
2015/12/7,0.34,10715,29108,857,2545,14103,21092,4628,"(0.0, 1.4]"
2015/12/8,-1.89,10320,30455,839,3075,12353,23352,5070,"(-4.2, -1.4]"
2015/12/9,0.07,13119,31241,888,2902,15451,24197,4712,"(0.0, 1.4]"
2015/12/10,-0.49,11711,33099,943,3450,14372,25189,5249,"(-1.4, 0.0]"
2015/12/11,-0.61,10594,29819,832,2858,12563,22751,5099,"(-1.4, 0.0]"
2015/12/14,2.51,10093,31050,828,2996,13639,21800,5704,"(1.4, 4.2]"
2015/12/15,-0.29,9410,28182,818,3104,13018,19480,5094,"(-1.4, 0.0]"
2015/12/16,0.17,10564,31723,958,3731,14723,22569,4995,"(0.0, 1.4]"
2015/12/17,1.81,12073,32992,1053,3802,16234,23578,5253,"(1.4, 4.2]"
2015/12/18,-0.03,10544,29003,736,2974,13568,21549,4430,"(-1.4, 0.0]"
2015/12/21,1.77,10649,32148,853,3591,16377,21041,5379,"(1.4, 4.2]"
2015/12/22,0.26,9058,30430,835,3943,15208,19312,4968,"(0.0, 1.4]"
2015/12/23,-0.43,10090,32741,1070,4159,15714,21475,5642,"(-1.4, 0.0]"
2015/12/24,-0.65,11671,31605,948,3487,15190,22644,5442,"(-1.4, 0.0]"
2015/12/25,0.43,7475,26648,791,3664,13357,16740,4026,"(0.0, 1.4]"
2015/12/28,-2.6,9310,29038,959,3633,14472,19228,4648,"(-4.2, -1.4]"
2015/12/29,0.85,8666,29546,896,3581,14198,19379,4635,"(0.0, 1.4]"
2015/12/30,0.26,7407,21475,795,2943,11541,14337,3004,"(0.0, 1.4]"
2015/12/31,-0.94,8982,26271,855,3103,12561,18615,4077,"(-1.4, 0.0]"
2016/1/4,-6.86,17881,47340,1683,4934,22227,36751,6243,"(-10.0, -4.2]"
2016/1/5,-0.26,13294,39832,1187,4383,19513,27953,5660,"(-1.4, 0.0]"
2016/1/6,2.25,10630,32345,1006,3742,15915,21982,5078,"(1.4, 4.2]"
2016/1/7,-7.04,24708,59937,2785,6890,28105,49393,7147,"(-10.0, -4.2]"
2016/1/8,1.97,13094,38147,1293,3676,18698,27289,5254,"(1.4, 4.2]"
2016/1/11,-5.33,12242,39972,1082,3212,18817,28000,5397,"(-10.0, -4.2]"
2016/1/12,0.2,13428,41641,1253,3782,20347,28717,6005,"(0.0, 1.4]"
2016/1/13,-2.42,13067,40741,1410,4054,19870,28330,5608,"(-4.2, -1.4]"
2016/1/14,1.97,13960,40130,1467,4405,19849,28350,5891,"(1.4, 4.2]"
2016/1/15,-3.55,14062,38954,1397,3539,21031,26710,5275,"(-4.2, -1.4]"
2016/1/18,0.44,11404,32874,899,2989,15058,23684,5536,"(0.0, 1.4]"
2016/1/19,3.22,11363,29777,1266,3281,13273,22961,4906,"(1.4, 4.2]"
2016/1/20,-1.03,10701,29710,1133,3333,12646,23044,4721,"(-1.4, 0.0]"
